Participant ID,Participant Name,Address,Shareholding,Percentage
"B01265","OCBC SECURITIES BROKERAGE (HK) LTD","1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG",72965,0
"B02175","WEBULL SECURITIES LTD","SUITES 2509-12 25/F TOWER 6 THE GATEWAY HARBOUR CITY KOWLOON",72024,0
"B01669","FIRST SECURITIES (HK) LTD","RM 1708-1710 17/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG",71500,0
"B01298","GET NICE SECURITIES LTD","G/F-3/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG",70000,0
"B01246","ROCTEC SECURITIES CO LTD","ROOM 3908 39/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG",69600,0
"B01810","ASTRUM CAPITAL MANAGEMENT LTD","RM 2704 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG",66200,0
"B01567","PRIME SECURITIES LTD","ROOM 1602 16/F KAI TAK COMMERCIAL BUILDING 317-319 DES VOEUX ROAD CENTRAL HONG KONG",62450,0
"B01425","WELLFULL SECURITIES CO LTD","RM 406 4/F HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON",62400,0
"B01641","FULL WIN SECURITIES LTD","RM 1101 11/F YUE SHING COMMERCIAL BUILDING 15-16 QUEEN VICTORIA STREET CENTRAL HONG KONG",61900,0
"B01552","CARRIER STOCK INVESTMENT CO LTD","FLAT 1A 1/F MAN HING COMMERCIAL BUILDING 79-83 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",61000,0
"B01470","HUNG SING SECURITIES LTD","SUITE 2505 25/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",60100,0
"B01734","KCG SECURITIES ASIA LTD","UNIT 2 24/F WORLDWIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG",58205,0
"B01963","TFI SECURITIES AND FUTURES LTD","16/F TWO PACIFIC PLACE 88 QUEENSWAY ADMIRALTY HONG KONG",57700,0
"B01980","SHANXI SECURITIES INTERNATIONAL LTD","UNIT A 29/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG",56800,0
"B01787","SOO PUI CHEN SECURITIES LTD","RM 802 CHEONG K BUILDING 86 DES VOEUX ROAD CENTRAL HONG KONG",56700,0
"B01601","CSC SECURITIES (HK) LTD","3/F 308 CENTRAL DES VOEUX 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",55500,0
"B01198","PO KAY SECURITIES & SHARES CO LTD","14/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG",55000,0
"B01753","FORTUNE (HK) SECURITIES LTD","UNIT 4102-06 41/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",54100,0
"B02183","SPDB INTERNATIONAL SECURITIES LTD","33/F SPD BANK TOWER ONE HENNESSY 1 HENNESSY ROAD HONG KONG",53700,0
"B01915","METAVERSE SECURITIES LTD","SUITE 4806-07 48/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG",50658,0
"B01351","WING FUNG SECURITIES LTD","UNIT 1001-8 10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",49800,0
"B01356","DELTA ASIA SECURITIES LTD","5/F LUK KWOK CENTRE 72 GLOUCESTER ROAD WANCHAI HONG KONG",48400,0
"B01551","YUE XIU SECURITIES CO LTD","ROOM NOS 4917-4937 49/F SUN HUNG KAI CENTRE 30 HABOUR ROAD WAN CHAI HONG KONG",46920,0
"B01814","WELL LINK SECURITIES LTD","UNIT 13-15 11/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",44700,0
"B01322","WATON SECURITIES INTERNATIONAL LIMITED","SUITES 3605-6 36/F TOWER 6 THE GATEWAY HARBOUR CITY KOWLOON",42500,0
"B02141","XIN YONGAN INTERNATIONAL SECURITIES","UNITS 3511-15 35/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG",42500,0
"B01585","SINO GRADE SECURITIES LTD","ROOM 601-602 6/F TAI PO COMMERCIAL CENTRE 152-172 KWONG FUK ROAD TAI PO NEW TERRITORIES",42200,0
"B01930","PRIME COURAGE SECURITIES CO LTD","UNIT A 23/F 88 LOCKHART ROAD WANCHAI HONG KONG",41400,0
"B01373","CHRISTFUND SECURITIES LTD","28/F TWO CHINACHEM CENTRAL 26 DES VOEUX ROAD CENTRAL HONG KONG",40800,0
"B01588","LEI SHING HONG SECURITIES LTD","8/F NEW WORLD TOWER I 18 QUEEN'S ROAD CENTRAL HONG KONG",40500,0
"B01710","SINO-RICH SECURITIES & FUTURES LTD","UNIT 2205-06 22/F GLOBAL TRADE SQUARE 21 WONG CHUK HANG ROAD HONG KONG",39100,0
"B02078","AFFLUX SECURITIES LTD","ROOM 06 11/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WAN CHAI HONG KONG",39000,0
"B01519","GOOD HARVEST SECURITIES CO LTD","7/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",38600,0
"B01897","CENTRAL WEALTH SECURITIES INVESTMENT LTD","5/F CHINA TAIPING TOWER PHASE II 8 SUNNING ROAD CAUSEWAY BAY HONG KONG",38400,0
"B01696","HANTEC SECURITIES CO LTD","12/F SOUTH CHINA BUILDING 1-3 WYNDHAM STREET CENTRAL HONG KONG",34970,0
"B01967","YUNFENG SECURITIES LTD","ROOM 1803-1806 18/F YF LIFE CENTRE 38 GLOUCESTER ROAD WANCHAI HONG KONG",34072,0
"B01659","CHEER UNION SECURITIES LTD","ROOM 2101 21/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG",34000,0
"B01576","SIU ON SECURITIES LTD","32/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG",33700,0
"B02047","EDDID SECURITIES AND FUTURES LTD","21/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG",33300,0
"B01514","KARL-THOMSON SECURITIES CO LTD","RM 607-610 6/F TAI YAU BUILDING 181 JOHNSTON ROAD WANCHAI HONG KONG",32500,0
"B01843","TELECOM KING SECURITIES LTD","UNIT 1202 12/F TELECOM DIGITAL TOWER 58 TSUN YIP STREET KWUN TONG KOWLOON",32355,0
